tanggal,minyak,EUR_IDR,USD_IDR,Vol,INDEX
14/10/2019,53.59,15590.4,14139.0,228.32,1
11/10/2019,54.70,15600.1,14128.0,485.96,0
10/10/2019,53.55,15575.1,14151.5,417.88,0
09/10/2019,52.59,15545.9,14170.0,285.28,1
08/10/2019,52.63,15508.2,14155.0,371.44,0
07/10/2019,52.75,15537.7,14162.5,257.78,0
04/10/2019,52.81,15517.4,14135.0,344.79,0
03/10/2019,52.45,15517.4,14172.5,408.74,1
02/10/2019,52.64,15556.3,14195.0,393.10,1
01/10/2019,53.62,15537.1,14212.5,450.17,1
30/09/2019,54.07,15472.5,14195.0,439.71,0
27/09/2019,55.91,15495.1,14165.0,451.93,0
26/09/2019,56.41,15484.7,14177.5,378.29,1
25/09/2019,56.49,15484.3,14150.0,481.46,0
24/09/2019,57.29,15552.0,14112.5,424.86,1
23/09/2019,58.64,15483.6,14085.0,359.88,1
20/09/2019,58.09,15485.8,14055.0,284.39,1
19/09/2019,58.13,15523.6,14060.0,291.30,0
18/09/2019,58.11,15508.2,14060.0,364.96,1
17/09/2019,59.34,15606.7,14095.0,336.63,1
16/09/2019,62.90,15446.8,14040.0,349.61,1
